"skill","tags"
"Material UI","JavaScript,Front-end Web Development,Framework,Library,UI/UX Design"
"Oracle Applications","Database,SQL,ERP,CRM,Business Intelligence,Data modeling,Performance tuning"
"Hibernate (Java)","Java,Back-end Web Development,ORM,Database,SQL,Data modeling,Performance tuning"
"Junit","Java,Testing,Unit Testing,Library"
"Bitbucket","Version Control,Project Management,Toolings"
"Java Platform Enterprise Edition (J2EE)","Java,Back-end Web Development,Framework,Enterprise Software"
"Eclipse (Software)","Integrated Development Environment,Java,Toolings"
".NET Framework","Microsoft,Back-end Web Development,Framework,C#"
"Selenium","Testing,Automation,Web Browser Automation,Toolings"
"Amazon S3","Cloud Computing,Storage,Infrastructure,Toolings,API,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"Amazon Elastic Compute Cloud","Cloud Computing,Infrastructure,Toolings,API,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"Postman","API Testing,Toolings,Back-end Web Development"
"Web Services","Back-end Web Development,API,Network"
"Ruby on Rails","Ruby,Back-end Web Development,Framework,Library"
"NoSQL","Back-end Web Development,Database,Data modeling,Performance tuning"
"Golang","Programming Language,Back-end Web Development"
"Heroku","Cloud Computing,Platform as a Service,DevOps,Back-end Web Development,Toolings"
"Model View Controller (MVC)","Software Design Pattern,Front-end Web Development,Back-end Web Development"
"JSON","Data Format,Data Interchange,JavaScript"
"ECMAScript","Programming Language,JavaScript"
"Automation of Tests","Quality Assurance,Testing,Software Development"
"Ajax (Programming Language)","Programming Language,JavaScript,Web Development"
"Gitlab","Project management,Toolings,Version Control System"
"Ruby","Programming Language,Back-end Web Development"
"Apache Tomcat","Java,Back-end Web Development,Server,Middleware"
"Google Cloud","Cloud Computing,Serverless Computing,Infrastructure,Toolings,API,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"Mocha","JavaScript,Testing,Framework,Library"
"Enzymes","JavaScript,Testing,Framework,Library"
"Unit Testing","Software Testing,Quality Assurance,Debugging"
"Solidity","Blockchain,Ethereum,Smart Contracts,Programming Language"
"RabbitMQ","Message Broker,Back-end Web Development,Middleware,Distributed Systems"
"Trello","Project Management,Toolings,Agile,Scrum"
"Vuejs","JavaScript,Front-end Web Development,Framework,Library"
"Java Database Connectivity","Java,Back-end Web Development,Database,SQL,Data modeling,Performance tuning"
"Microsoft Visual Studio","Integrated Development Environment,Toolings,.NET,C#"
"SQLite","Back-end Web Development,Database,SQL,Relational Database,Data modeling,Performance tuning"
"ASP.NET",".NET,C#,Back-end Web Development,Framework,Library"
"Microsoft Windows","Operating System,Toolings"
"Web Services","XML,Protocol,Back-end Web Development"
"Web3.js","JavaScript,Front-end Web Development,Blockchain,Library"
"Elasticsearch","Back-end Web Development,Database,Search Engine,Data modeling,Performance tuning"
"Apache Maven","Java,Build automation,Project management,Toolings"
"Computer Programming","Programming Language"
"Terraform","Infrastructure as Code,DevOps,Cloud Computing,Toolings"
"Object-Oriented Software Development","Software Development,Object-Oriented Programming"
"Web Development","Front-end Web Development,Back-end Web Development"
"Javaserver Pages","Java,Back-end Web Development,Server-side Scripting"
"Blockchain","Cryptography,Distributed Systems,Security,Network"
"Java Persistence API","Java,Back-end Web Development,Database,API,Data modeling"
".NET Core","Back-end Web Development,Framework,Library"
"Serverless Computing","Cloud Computing,Infrastructure,Toolings,API,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"Shopify","E-commerce,Front-end Web Development,Back-end Web Development,CMS"
"Jasmine","JavaScript,Testing,Framework,Library"
"Java Servlet","Java,Back-end Web Development,Framework,Library"
"IntelliJ IDEA","Integrated Development Environment,Java,Toolings"
"Subversion","Version Control System,Toolings"
"Rust (Programming Language)","Programming Language"
"Apache HTTP Server","Back-end Web Development,Server,HTTP,Network"
"Responsive Web Design","Front-end Web Development,Web Design,CSS,HTML,JavaScript"
"Architecture","Design,Planning,Structural Engineering,Construction"
"Circleci","Continuous Integration,DevOps,Toolings"
"Tensorflow","Machine Learning,Deep Learning,AI,Python,Data Science,Neural Networks"
"Mockito","Java,Unit Testing,Library"
"Spring-mvc","Java,Back-end Web Development,Framework"
"Operational Systems","IT Operations,System Administration,Network,Security"
"Software Debugging","Software Development,Problem Solving,Debugging,Testing"
"Kanban","Project Management,Agile Methodology,Workflow Management"
"Flutter","Mobile App Development,Framework,Dart,Cross-platform Development"
"Pandas","Python,Data Analysis,Data Manipulation,Data Science"
"Pytorch","Machine Learning,Deep Learning,Artificial Intelligence,Neural Networks,Python,Library"
"Shell Script","Scripting Language,Automation,System Administration,Unix/Linux"
"D3.Js","JavaScript,Front-end Web Development,Data Visualization,Library"
"Automation","Software Development,Testing,DevOps,Continuous Integration,Continuous Deployment"
"Adaptability","Soft Skill,Personal Development"
"Apple IOS","Mobile Development,Operating System"
"Gulp.js","JavaScript,Front-end Web Development,Task Runner,Toolings"
"Unix","Operating System,System Administration,Shell Scripting"
"PL-SQL","Programming Language,Database,SQL,Data modeling,Performance tuning"
"Confluence","Project Management,Documentation,Collaboration Tool"
"NumPy","Python,Data Analysis,Data Science,Library"
"Machine Learning","Data Science,Artificial Intelligence,Algorithms,Predictive Modeling"
"Amazon Simple Queue Service (SQS)","Cloud Computing,Message Queuing,Serverless Computing,Infrastructure,Toolings,API,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"Artificial Intelligence","Machine Learning,Data Science,Algorithms,Predictive Modeling"
"Spring Security","Java,Back-end Web Development,Framework,Library,Security"
"WebSocket","Network,Real-time communication,Back-end Web Development"
"Adobe XD","UI/UX Design,Prototyping,Front-end Web Development,Toolings"
"Scala (Programming Language)","Programming Language,Back-end Web Development,Functional Programming,Object-Oriented Programming"
"Splunk","Data Analysis,Log Management,Security,Network,Performance monitoring,DevOps"
"Database Administration","Database,SQL,NoSQL,Data modeling,Performance tuning,Security,Back-end Web Development"
"Adobe Photoshop","Graphic Design,Image Editing,UI/UX Design"
"Swift (Programming Language)","Programming Language,iOS Development,Mobile App Development"
"Android Studio","Android Development,Mobile App Development,IDE,Java,Kotlin"
"Apache Spark","Big Data,Data Processing,Machine Learning,Analytics,Distributed Computing"
"Content Management","Web Development,SEO,Digital Marketing,Writing,Editing"
"Software as a Service","Cloud Computing,Service,Business Model"
"Nginx","Web Server,Load Balancer,Reverse Proxy,HTTP Server"
"Mobile Application Development","Software Development,Mobile,Android,iOS,Cross-platform"
"Entity Framework",".NET,Object-Relational Mapping,Database,Back-end Web Development"
"Microsoft Office","Productivity Software,Word Processing,Spreadsheet,Presentation,Email Management"
"Mern","MongoDB,Express.js,ReactJS,Node.js,Full Stack Development,JavaScript"
"Oracle WebLogic Server","Middleware,Java EE,Back-end Web Development,Server"
"Infrastructure Management","IT Operations,Network,Security,DevOps"
"Snowflake","Cloud Computing,Database,Data Warehousing,SQL,Data modeling,Performance tuning"
"Ethereum","Blockchain,Cryptocurrency,Smart Contracts,Decentralized Applications,Solidity"
"IBM Websphere Application Server","Back-end Web Development,Server,Middleware,Java,Performance monitoring,Security,Network"
"UML","Software Design,Diagram,Modeling"
"Windows PowerShell","Scripting Language,Windows,System Administration,Automation"
"Grpc","Protocol,API,Microservices,Performance,Network"
"Api Design","API,Software Design,Microservices,Back-end Web Development"
"Api Gateway","API,Back-end Web Development,Cloud Computing,Network"
"Testing (Software)","Quality Assurance,Software Development,Debugging"
"Apache Struts","Java,Back-end Web Development,Framework,Library"
"Cucumber (Software)","Testing,Behavior Driven Development,Software Development"
"Gatsby","JavaScript,Front-end Web Development,Framework,Library,Static Site Generator"
"Unity 3d","Game Development,C#,3D Modeling,Virtual Reality,Augmented Reality"
"NetBeans","Java,Integrated Development Environment,Toolings"
"Gradle","Build Automation,Java,Groovy,Toolings"
"CodeIgniter","PHP,Back-end Web Development,Framework,Library"
"Keras","Python,Machine Learning,Deep Learning,Neural Networks,Data Science,AI"
"Three.js","JavaScript,Front-end Web Development,Library,3D Graphics"
"Fastapi","Python,Back-end Web Development,Framework,API"
"Bash Shell","Scripting Language,System Administration,DevOps"
"Data Analysis","Data Science,Statistics,Machine Learning,Data Visualization"
"Software Design Patterns","Software Engineering,Object-Oriented Programming,System Design"
"Npm(Software)","JavaScript,Package Manager,Toolings"
"Grunt (Software)","JavaScript,Task Runner,Toolings"
"Oracle Databases","Back-end Web Development,Database,SQL,Relational Database,Data modeling,Performance tuning"
"Programming Tools","Toolings"
"Symfony","PHP,Back-end Web Development,Framework,Library"
"Apache Hadoop","Big Data,Data Processing,Distributed Systems,Java,Back-end Web Development"
"Cloudwatch","Cloud Computing,Monitoring,AWS,DevOps,Performance monitoring,Security,Network,Analytics"
"Joomla","Content Management System,PHP,Back-end Web Development"
"Time Management","Soft Skills"
"MariaDB","Back-end Web Development,Database,SQL,Relational Database,Data modeling,Performance tuning"
"Adobe Illustrator","Graphic Design,Vector Graphics,Adobe Suite"
"Identity Management","Security,Access Control,IT Management"
"Adobe","Software Development,Graphic Design,Video Editing,Web Development"
"Mobile Application Software","Mobile Development,Software Development,App Design"
"Twilio","Cloud Communications,API,Back-end Web Development,SMS,Voice"
"Matplotlib","Python,Data Visualization,Library"
"RxJS","JavaScript,Library,Reactive Programming"
"AWS Lambda","Cloud Computing,Serverless Computing,Infrastructure,Toolings,API,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"Swagger","API,Documentation,Toolings"
"Java Message Service (JMS)","Java,Messaging,Middleware,Back-end Web Development"
"Success Driven Person","Soft Skills,Personal Development"
"Grafana","Data Visualization,Monitoring,Analytics,DevOps"
"Cryptography","Security,Encryption,Algorithms,Computer Science"
"Spring Framework","Java,Back-end Web Development,Framework"
"Ansible","DevOps,Infrastructure,Toolings,Automation"
"JavaBeans","Java,Back-end Web Development,Component Architecture"
"Extreme Programming","Software Development Methodology,Agile"
"Microsoft Access","Database,SQL,Relational Database,Data modeling"
"Google Analytics","Analytics,Data Analysis,Web Analytics,Marketing,SEO"
"Drupal","CMS,Back-end Web Development,PHP,Front-end Web Development"
"Information Technology","IT,Network,Security,Database,Programming,System Administration"
"Playwright","Testing,Automation,JavaScript,Browser Automation,End-to-End Testing"
"Internet Information Services (IIS)","Web Server,Microsoft,Network,Back-end Web Development"
"Web Servers","Back-end Web Development,Network,Infrastructure"
"Test-Driven Development (TDD)","Software Testing,Software Development Methodology"
"Kendo Ui","JavaScript,Front-end Web Development,Framework,Library"
"Human-Computer Interaction","User Experience,User Interface,Design"
"Code Review","Software Quality Assurance,Software Development Process"
"Build Tools","Software Development,DevOps,Automation"
"E-Commerce","Business,Online Shopping,Web Development"
"Full Stack Development","Front-end Web Development,Back-end Web Development,Database,Programming Language"
"Extensible Stylesheet Language Transformations (XSLT)","XML,Data Transformation,Programming Language"
"Jax Ws","Java,Web Services,API,Back-end Web Development"
"Open Source Technology","Software Development,Collaboration,Community"
"Scikit Learn","Python,Machine Learning,Library"
"Friendliness","Soft Skills,Interpersonal Skills"
"Spring Data","Java,Back-end Web Development,Framework,Data Access"
"Spring Cloud","Java,Back-end Web Development,Framework,Cloud Computing"
"Cassandra","Back-end Web Development,Database,NoSQL,Data modeling,Performance tuning"
"VoIP","Telecommunications,Network,Security"
"Objective-C (Programming Language)","Programming Language"
"Deep Learning","Machine Learning,Artificial Intelligence,Data Science,Neural Networks"
"Kotlin","Programming Language,Mobile Development,Android Development"
"Testng","Java,Testing,Automation,Framework"
"Quality Management","Management,Quality Assurance,Process Improvement"
"Log4j","Java,Logging,Debugging,Toolings"
"Pytest","Python,Testing,Automation,Framework"
"Xamarin","Mobile App Development,Cross-platform,.NET,C#"
"Asana","Project Management,Toolings"
"SQL Stored Procedures","Back-end Web Development,Database,SQL,Data modeling"
"Language Integrated Query","Programming Language,Data Query,Database"
"Network Routers","Network,Hardware,Security"
"Ubuntu (Operating System)","Operating System,Linux,System Administration,Security"
"Systems Design","System Architecture,Design Patterns,Software Engineering"
"Java Platform Standard Edition (J2SE)","Java,Programming Language,Object-Oriented Programming,Software Development"
"Networking Skills","Network,Network Administration,Network Security,IT"
"Adobe Dreamweaver","Web Development,HTML,CSS,JavaScript,Adobe Suite"
"Extensible HyperText Markup Language (XHTML)","Web Development,HTML,Markup Language"
"Data Logging","Data Management,Data Analysis,Back-end Web Development"
"Visual Basic .NET (Programming Language)","Programming Language,.NET,Back-end Web Development"
"Big Data","Data Analysis,Data Management,Data Science,Machine Learning,Cloud Computing"
"Network Server","Network,Back-end Web Development,Security,Infrastructure"
"Moulding Machines","Manufacturing,Industrial Engineering,Mechanical Engineering"
"Data Science","Analytics,Machine Learning,Statistics,Python,R"
"Region Management","Project Management,Operations,Strategy"
"Containerization","DevOps,Docker,Kubernetes,Infrastructure,Cloud Computing"
"Cloud Engineering","Cloud Computing,Infrastructure,DevOps,Network,Security"
"Pyspark","Big Data,Apache Spark,Python,Data Processing,Machine Learning"
"Hubspot","Marketing,CRM,Sales,Customer Service,Automation,Email Marketing"
"WooCommerce","E-commerce,WordPress,Web Development,Back-end Web Development"
"Graphic Design","Creativity,Adobe Suite,Visual Communication,Typography,Layout Design"
"Tableau (Software)","Data Visualization,Business Intelligence,Analytics,Data Analysis"
"Critical Thinking","Problem Solving,Decision Making,Analysis,Reasoning"
"OAuth","Security,Authentication,Authorization,API"
"Web Services Description Language","Web Development,API,XML,SOAP"
"Lodash","JavaScript,Library,Utility Functions"
"Analytical Thinking","Soft Skills,Problem Solving"
"Oracledb","Back-end Web Development,Database,SQL,Relational Database,Data modeling,Performance tuning"
"Xunit","Unit Testing,.NET,Library"
"MATLAB","Programming Language,Data Analysis,Numerical Computing,Algorithm Development,Simulation,Modeling"
"Groovy","Programming Language,JVM,Scripting Language"
"Kibana","Data Visualization,Analytics,Elasticsearch,Front-end Web Development"
"Prometheus","Monitoring,Alerting,Time Series Database,DevOps"
"OpenCV","Computer Vision,Image Processing,Machine Learning,Library"
"SQLAlchemy","Python,Database,ORM,SQL,Back-end Web Development"
"Sinon","JavaScript,Testing,Library"
"Server-Side","Back-end Web Development"
"SonarQube","Code Quality,Toolings,DevOps"
"Spring Batch","Java,Back-end Web Development,Batch Processing,Framework"
"SoapUI","API Testing,Toolings"
"Integration Tests","Software Testing,Quality Assurance,Back-end Web Development"
"Rspec","Ruby,Testing,Back-end Web Development,Library"
"Basecamp","Project Management,Toolings"
"ADO.NET",".NET,Back-end Web Development,Database,Data Access,Microsoft"
"Extract Transform Load (ETL)","Data Processing,Data Warehousing,Data Integration,Back-end Web Development"
"Microsoft Excel","Spreadsheet,Data Analysis,Data Visualization,Office Productivity,Microsoft Office Suite"
"Windows Presentation Foundation",".NET,Framework,User Interface,Microsoft,Desktop Application Development"
"PIC Microcontroller","Embedded Systems,Microcontroller,Electronics,Programming,Hardware"
"Firebug","Web Development,Debugging,Browser Extension,JavaScript,CSS,HTML"
"Notepad (Software)","Text Editing,Software,Microsoft,Office Productivity"
"Java Virtual Machine (JVM)","Java,Runtime Environment,Back-end Web Development"
"New Relic (SaaS)","Software as a Service,Performance Monitoring,Analytics,DevOps"
"WildFly (JBoss AS)","Java,Back-end Web Development,Application Server"
"Zend Framework","PHP,Back-end Web Development,Framework,Library"
"Maintenance","Software Maintenance,Bug Fixing,Updates,Upgrades"
"Computer Security","Network,Security,Cybersecurity"
"Bugzilla","Project management,Toolings,Bug tracking"
"Data Storage Technologies","Database,Data modeling,Performance tuning,Infrastructure"
"Solaris (Operating System)","Operating System,Infrastructure,Network"
"Apache Solr","Back-end Web Development,Database,Search platform,Performance tuning"
"Crypto Currency","Blockchain,Finance,Security,Cryptography"
"Meteor","JavaScript,Full-stack Web Development,Framework,Real-time Applications"
"AWS ECS","Cloud Computing,Container Orchestration,Infrastructure,Toolings,API,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"Knowledge of Engineering","Problem Solving,Design,Analysis,Mathematics,Physics"
"Travis Ci","Continuous Integration,DevOps,Toolings,Testing,Deployment"
"Hard Work and Dedication","Soft Skills,Personal Traits"
"JavaScript Libraries","JavaScript,Front-end Web Development,Library"
"Network Protocols","Networking,Network Security,Network Engineering"
"Solution Architecture","System Design,Software Architecture,Project Management"
"Firewalls (Computer Science)","Network Security,Cybersecurity,Computer Science"
"Microsoft Word","Office Productivity,Document Creation,Text Editing"
"Enterprise JavaBeans","Java,Back-end Web Development,Framework,Library"
"IBM DB2","Back-end Web Development,Database,SQL,Relational Database,Data modeling,Performance tuning"
"Sybase","Back-end Web Development,Database,SQL,Relational Database,Data modeling,Performance tuning"
"Toad (Software)","Database,SQL,Relational Database,Data modeling,Performance tuning,Toolings"
"Pulumi","Infrastructure as Code,DevOps,Cloud Computing,Toolings"
"Assembly and Installation","Hardware,Troubleshooting,Maintenance"
"Website Wireframe","Web Design,Front-end Web Development,UI/UX Design"
"Search Engine Optimization","Digital Marketing,Web Analytics,Content Strategy"
"Microsoft Visio","Diagramming,Business Process Modelling,Documentation,Toolings"
"Transact-SQL","Back-end Web Development,Database,SQL,Data modeling,Performance tuning"
"JavaServer Pages Standard Tag Library","Java,Back-end Web Development,Library"
"Magento","E-commerce,PHP,Back-end Web Development,Framework"
"GPT","Artificial Intelligence,Machine Learning,Natural Language Processing,Model"
"Vba Programming Language","Programming Language,Microsoft Office,Automation"
"Google Maps","API,Front-end Web Development,Geolocation,Navigation"
"Ability to Multitask","Soft Skill,Productivity"
"Nunit",".NET,Unit Testing,Framework,Library"
"HTML Abstraction Markup Language","Front-end Web Development,Markup Language"
"Team Management","Soft Skill,Leadership,Project Management"
"Vim (Text Editor)","Text Editor,Toolings"
"Cloudformation","Cloud Computing,Infrastructure as Code,DevOps,Amazon Web Services"
"LAMP (Software Bundle)","Back-end Web Development,Linux,Apache,MySQL,PHP"
"Amazon Cloudfront","Cloud Computing,Content Delivery Network,Amazon Web Services"
"Power BI","Data Visualization,Business Intelligence,Analytics,Microsoft"
"MapReduce","Big Data,Data Processing,Algorithm"
"NLTK (NLP Analysis)","Natural Language Processing,Python,Library,Text Analysis"
"Apache Hive","Big Data,Data Warehousing,SQL,Hadoop"
"Hyperledger","Blockchain,Distributed Ledger,Smart Contracts,Cryptography"
"Grails (Framework)","Groovy,Web Development,Framework"
"Adobe Coldfusion","Back-end Web Development,Framework,Library"
"Angular Material","JavaScript,Front-end Web Development,Framework,Library"
"Apache ActiveMQ","Back-end Web Development,Message Broker,Java,Middleware"
"FFmpeg","Multimedia,Video Processing,Audio Processing,Library"
"Memcached","Back-end Web Development,Database,Cache,Performance tuning"
"InVision","UI/UX Design,Prototyping,Collaboration,Design Tools"
"Target Market Selection","Marketing,Strategy,Business"
"CMake","Build Automation,Software Development,Toolings"
"OpenGL","Graphics,3D Rendering,Programming Language,API"
"Quick EMUlator (QEMU)","Virtualization,Emulation,Operating System,Performance monitoring"
"Test Scripts","Software Testing,Quality Assurance,Programming"
"Business Requirements","Business Analysis,Project Management,Documentation"
"Order Picking","Warehouse Operations,Inventory Management,Logistics"
"Self Motivation","Personal Development,Soft Skills"
"Data Structures","Computer Science,Programming,Algorithms"
"Health Level Seven International","Healthcare Information Technology,Data Standards,Interoperability"
"Load Balancing","Network,Infrastructure,Performance tuning,Security"
"Relational Databases","Back-end Web Development,Database,SQL,Data modeling,Performance tuning"
"Highcharts","JavaScript,Front-end Web Development,Data Visualization,Library"
"Jinja (Template Engine)","Python,Front-end Web Development,Template Engine"
"Airflow","Data Engineering,Workflow Management,Python,Scheduler,ETL"
"Data Processing","Data Analysis,Data Engineering,ETL,Big Data"
"Data Visualization","Data Analysis,Reporting,Business Intelligence,Front-end Web Development"
"Swiftui","iOS Development,Mobile App Development,Swift,Front-end Web Development,Framework,Library"
"Technical Skills","General,Unknown"
"Apple Xcode","iOS Development,macOS Development,Software Development Kit (SDK),Integrated Development Environment (IDE),Swift,Objective-C,Debugging,Interface Builder,Testing,App Store Deployment"
"Elixir","Programming Language,Back-end Web Development,Functional Programming"
"ASP.NET MVC Framework","C#,Back-end Web Development,Framework,Library"
"OpenShift","Cloud Computing,Containerization,DevOps,Infrastructure,Toolings,API,Back-end Web Development"
"Architectural Design","Software Architecture,Design Patterns,System Design"
"Innovation","Creativity,Problem Solving,Strategic Thinking"
"Model View ViewModel","Software Architecture,Design Pattern"
"Multithreading","Programming Concept,Concurrency,Performance tuning"
"Zeplin","Design Tool,Collaboration,Front-end Web Development"
"HAProxy","Load Balancing,Networking,Security,Performance monitoring"
"Svelte","JavaScript,Front-end Web Development,Framework,Library"
"User Authentication","Security,Back-end Web Development"
"Smart Contracts","Blockchain,Ethereum,Solidity,Cryptocurrency"
"Teamcity","Continuous Integration,DevOps,Toolings"
"Datadog","Monitoring,Analytics,Performance monitoring,DevOps,Toolings"
"Java API for RESTful Web Services (JAX-RS)","Java,Back-end Web Development,API,RESTful Web Services"
"Unix Shell","Operating System,Command Line Interface,Scripting"
"Dashboards","Data Visualization,Reporting,Business Intelligence"
"Yii PHP Framework","PHP,Back-end Web Development,Framework"
"Celery","Python,Distributed System,Task Queue,Real-time processing,Back-end Web Development"
"Google Web Toolkits","Java,Front-end Web Development,Framework,Library"
"WebRTC","JavaScript,Front-end Web Development,Real-Time Communication,API"
"Performance Tuning","Database,Back-end Web Development,Network,System Administration"
"Selenium Webdriver","Testing,Automation,Front-end Web Development,Back-end Web Development"
"Mulesoft","Integration,API,Back-end Web Development,Middleware"
"Appium","Testing,Automation,Mobile Development"
"Gherkin","Software Testing,Behavior Driven Development,Test Automation"
"Database Design","Back-end Web Development,Database,Data modeling"
"Requirements Analysis","Business Analysis,Project Management,Software Development Process"
"Active Directory","Network,Security,Identity Management,Microsoft Technologies"
"Generative AI","Artificial Intelligence,Machine Learning,Deep Learning,Generative Models"
"Druid","Back-end Web Development,Database,Data modeling,Performance tuning,Analytics"
"Robotics Design and Production","Robotics,Design,Production,Engineering"
"Functional Programming","Programming Paradigm,Programming Language"
"Auditing Skills","Auditing,Finance,Accounting,Risk Management"
"Apache Cordova","Mobile App Development,JavaScript,Framework,Library"
"Crystal Reports (Reporting Software)","Reporting,Data Analysis,Business Intelligence,Software"
"File Transfer Protocol (FTP)","Network Protocol,Data Transfer,Networking"
"SQL Server Integration Services","ETL,Data Integration,Microsoft SQL Server,Back-end Web Development,Database"
"SQL Server Reporting Services","Reporting,Data Analysis,Business Intelligence,Microsoft SQL Server,Back-end Web Development,Database"
"Macros","Automation,Programming,Efficiency,Productivity"
"Supply Chain Management","Business,Management,Logistics,Operations"
"Design Elements and Principles","Design,Visual Design,Graphic Design,Art"
"E2e Testing","Software Testing,Quality Assurance,Automation"
"Sinatra (Software)","Ruby,Back-end Web Development,Framework,Library"
"Marketing Planning","Marketing,Business,Strategy,Planning"
"SolidWorks (CAD)","Computer-Aided Design,3D Modeling,Engineering,Product Design"
"Employee Onboarding","Human Resources,Training,Employee Engagement,Management"
"Clinical Works","Healthcare,Electronic Health Records,Patient Care,Medical Software"
"Operability","Operations Management,Process Improvement,Quality Assurance"
"Backbone.Js","JavaScript,Front-end Web Development,Framework,Library"
"Apache Flink","Big Data,Stream Processing,Real-time Processing,Framework,Java"
"Apache IBATIS","Java,Framework,Library,SQL Mapping"
"Dynamo","Database,NoSQL,Distributed Systems,Amazon Web Services"
"MyBatis","Java,Framework,Library,SQL Mapping"
"TCP/IP","Networking,Protocol,Internet,Data Communication"
"Domain Name System (DNS)","Network,Security,System Administration"
"Nagios","Network Monitoring,System Administration,DevOps,Performance monitoring"
"Zabbix","Network Monitoring,System Administration,DevOps,Performance monitoring"
"Angular Ui","JavaScript,Front-end Web Development,Framework,Library"
"Incident Response","Security,Network,System Administration,Incident Management"
"Hardware Infrastructure","Hardware,Infrastructure,IT,Network"
"Technical Support","Customer Service,IT,Troubleshooting,Support"
"Preventive Maintenance","Maintenance,Hardware,IT,Troubleshooting"
"IBM Rational Unified Process","Software Development,Project Management,IBM,Process"
"Microsoft WebMatrix","Microsoft,Web Development,Toolings"
"HP Loadrunner","Performance Testing,Load Testing,Software Testing,Toolings"
"IBM AIX","Operating System,Unix,Server Management,System Administration"
